student_id,student_name,date_of_birth,age_as_of_aug2021,gender,grade_level,school_type,center_id,region,digital_access,enrollment_date,guardian_contact_available,program_type,program_status,total_sessions,sessions_attended_weighted,attendance_rate,absent_count,late_count,first_session_date,homework_completion_rate,guardian_signature_rate,baseline_score,midline_score,final_score,score_improvement,average_exam_score,average_homework_completion_pct,parent_comm_count,teacher_to_parent_count,automated_reminder_count,monthly_cost_per_student_inr,capacity_utilization,engagement_score,engagement_level,dropout_flag,risk_category,improved_student_flag,cost_per_improved_student_inr
S00008,James Wheeler,2011-01-25,10.5,Female,Grade 1,Aided,BLR-C04,Hebbal,Good,2021-08-26,Yes,Hybrid Learning Support,Completed,20,13.8,0.688,1,7,2021-08-20,0.444,0.333,90.9,93.9,96.5,5.6,96.5,87.5,1,1,0,1533,0.848,53.2,Medium,0,Medium Risk,1,1981.0
S00022,Justin Wright,2010-06-25,11.1,Male,Grade 2,Government,BLR-C03,Yelahanka,Limited,2021-08-26,Yes,After-School Tutoring,Irregular,15,6.0,0.4,5,2,2021-08-01,1.0,0.0,54.1,54.5,56.7,2.6,56.666666666666664,86.66666666666667,1,1,0,2076,0.937,53.0,Medium,0,Medium Risk,0,2678.0
S00041,Robert Walters,2017-03-28,4.3,Male,Grade 1,Government,BLR-C01,Whitefield,Limited,2021-08-19,Yes,Mentorship,Dropped,15,5.2,0.35,8,3,2021-08-05,0.5,0.5,85.7,87.3,90.0,4.3,90.0,80.0,3,2,0,1885,0.833,43.2,Medium,1,High Risk,0,2792.0
S00043,Amanda Davis,2008-01-17,13.5,Female,Grade 2,Aided,BLR-C01,Whitefield,Limited,2021-08-09,No,After-School Tutoring,Irregular,18,10.2,0.569,4,5,2021-08-02,0.5,0.5,82.3,84.9,85.0,2.7,85.0,100.0,3,3,0,1885,0.833,53.1,Medium,0,Medium Risk,0,2792.0
S00045,Melanie Martinez,,,Male,Grade 5,Government,BLR-C03,Yelahanka,Good,2021-08-20,Yes,Digital Learning Support,Completed,17,11.0,0.647,1,4,2021-08-15,1.0,0.5,48.9,54.1,61.5,12.6,61.5,68.75,3,0,1,2076,0.937,74.1,High,0,Medium Risk,1,2678.0
S00047,Deborah Robinson,2012-07-19,9.0,Male,Grade 1,Government,BLR-C03,Yelahanka,Good,2021-09-11,Yes,Hybrid Learning Support,Irregular,22,11.5,0.523,7,6,2021-08-03,0.25,0.25,60.5,69.7,73.1,12.6,73.14285714285714,80.0,4,2,1,2076,0.937,37.3,Low,0,Medium Risk,1,2678.0
S00052,Robert Fox,2009-02-16,12.5,Male,Grade 4,Private Low-Cost,BLR-C05,KR Puram,No Access,2021-09-14,Yes,Digital Learning Support,Irregular,9,5.0,0.556,1,2,2021-10-08,1.0,0.2,82.5,86.9,93.5,11.0,93.5,95.0,3,0,2,2309,0.703,64.0,Medium,0,Medium Risk,1,3196.0
S00108,James Orozco,,,Female,Grade 5,Government,BLR-C02,Jayanagar,Limited,2021-08-16,Yes,Hybrid Learning Support,Irregular,22,10.2,0.466,8,7,2021-08-01,0.6,0.0,72.8,74.0,79.5,6.7,79.5,90.0,2,1,0,1880,0.637,42.0,Medium,0,Medium Risk,1,2395.0
S00120,Paul Ramos,2018-09-25,2.9,Female,Grade 1,Private Low-Cost,BLR-C04,Hebbal,No Access,2021-08-17,Yes,Digital Learning Support,Irregular,13,5.5,0.423,3,2,2021-09-25,1.0,0.0,47.0,51.0,52.3,5.3,52.333333333333336,83.33333333333333,1,1,0,1533,0.848,54.0,Medium,0,Medium Risk,1,1981.0
S00124,Glenn Alexander,2015-10-31,5.8,Female,Grade 5,Private Low-Cost,BLR-C01,Whitefield,Limited,2021-08-22,Yes,After-School Tutoring,Completed,17,11.8,0.691,2,5,2021-08-08,0.0,1.0,80.8,82.2,82.8,2.0,82.8,32.0,1,1,0,1885,0.833,51.1,Medium,0,Medium Risk,0,2792.0
